Lookup Key,Duty % only,PAL % only,SSCL % only,Cess % only,Surcharge % only,Dual % and unit,Total Per unit charge,VAT %,,,
0504.00,0,0,0.025,0,0,,0,0.18,,,
0505.10,0.295,0,0.025,0,0,,0,0.18,,,
0505.90,0.295,0,0.025,0,0,,0,0.18,,,
0506.10.10,0.245,0,0.025,0,0,,0,0.18,,,
0506.10.90,0.245,0,0.025,0,0,,0,0.18,,,
0506.90.10,0.245,0,0.025,0,0,,0,0.18,,,
0506.90.90,0.345,0,0.025,0,0,,0,0.18,,,
0507.10.10,0.2,0,0.025,0,0,,0,0.18,,,
0507.10.90,0.2,0,0.025,0,0,,0,0.18,,,
0507.90,0.2,0,0.025,0,0,,0,0.18,,,
0508.00,0,0,0,0,0,,0,0,,,
0508.00.10,0.295,0,0.025,0,0,,0,0.18,,,
0508.00.20,0.295,0,0.025,0,0,,0,0.18,,,
0508.00.90,0.295,0,0.025,0,0,,0,0.18,,,
0510.00,0,0,0,0,0,,0,0,,,
0510.00.10,0.295,0,0.025,0,0,,0,0.18,,,
0510.00.90,0.295,0,0.025,0,0,,0,0.18,,,
0511.10,0,0,0.025,0,0,,0,0.18,,,
0511.91,0,0,0,0,0,,0,0,,,
0511.91.10,0.195,0,0.025,0,0,,0,0.18,,,
0511.91.20,0,0,0.025,0,0,,0,0,,,
0511.91.30,0.255,0,0.025,0,0,,0,0.18,,,
0511.91.40,0.255,0.16,0.025,0,0,,0,0.18,,,
0511.91.90,0.255,0.16,0.025,0,0,,0,0.18,,,
0511.99,0,0,0,0,0,,0,0,,,
0511.99.10,0.37,0,0.025,0,0,,0,0.18,,,
0511.99.20,0,0,0.025,0,0,,0,0.18,,,
0511.99.30,0,0.16,0.025,0,0,,0,0.18,,,
0511.99.40,0,0,0.025,0,0,,0,0.18,,,
0511.99.50,0,0,0.025,0,0,,0,0.18,,,
0511.99.60,0.27,0,0.025,0,0,,0,0.18,,,
0511.99.70,0.37,0,0.025,0,0,,0,0.18,,,
0511.99.90,0.37,0,0.025,0,0,,0,0.18,,,
0601.10,0,0,0.025,0,0,,0,0.18,,,
0601.20.10,0.195,0,0.025,0,0,,0,0.18,,,
0601.20.90,0,0,0.025,0,0,,0,0.18,,,
0602.10,0,0,0.025,0,0,,0,0,,,
0602.20.10,0,0,0.025,0,0,,0,0,,,
0602.20.90,0,0,0.025,0,0,,0,0,,,
0602.30.10,0,0,0.025,0,0,,0,0,,,
0602.30.90,0,0,0.025,0,0,,0,0,,,
